Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Classification_LoadingAdded,HermiT_Classification_LoadingAdded,JFact_Classification_LoadingAdded,Konclude_Classification_LoadingAdded,Openllet_Classification_LoadingAdded,Pellet_Classification_LoadingAdded,KoncludeCLI_Classification_LoadingAdded
ore_ont_3910.owl,483,214,1631,1126,773,337,16,0,24,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,1.205,0.0901,5.5007,0.0059,28.9232,9.9028,0.0446,0.008,0.0482,0.0139,0.0683,0.0336,0.0245,1.213,0.1383,5.5146,0.0742,28.9568,9.927299999999999,0.0446
ore_ont_8187.owl,1314,0,2808,1490,1488,0,2,0,4,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0086,0.1335,0.1439,0.0072,0.0261,0.0207,0.049,0.0141999999999999,0.0598,0.0171,0.0636,0.0361,0.0281,0.0227999999999999,0.1933,0.161,0.0708,0.062200000000000005,0.048799999999999996,0.049
ore_ont_1478.owl,121,12,1547,1187,753,51,383,1,239,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0462,323.1287,0.349,0.047,,,0.0906,0.0121,0.119,0.0138,0.075,0.0266,0.0308,0.0583,323.2477,0.36279999999999996,0.122,,,0.0906
ore_ont_16157.owl,1134,0,2458,1313,1310,0,3,0,11,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0063,0.1371,0.1827,0.0061,0.0283,0.0203999999999999,0.0458,0.0139999999999999,0.0511,0.0163,0.0608,0.0366,0.0318,0.0202999999999999,0.1882,0.199,0.0669,0.0649,0.0521999999999999,0.0458
ore_ont_2011.owl,1390,0,2856,1466,1466,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0034,0.1285,0.1057,0.0071,0.0207,0.0193,0.0493,0.0123,0.0550999999999999,0.0182,0.0633,0.0356,0.0304,0.0157,0.1835999999999999,0.12390000000000001,0.07039999999999999,0.0563,0.0497,0.0493
ore_ont_10419.owl,1396,0,2866,1470,1470,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0048,0.1354,0.1079,0.007,0.0218,0.0169,0.0495,0.0141,0.0552,0.0166,0.0638,0.0352,0.0343,0.0189,0.1906,0.1245,0.0708,0.057,0.051199999999999996,0.0495
ore_ont_8030.owl,635,103,1989,1228,844,315,69,27,100,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0075,1.9633,0.1896,0.0076,0.1366,,0.0492,0.0156,0.0653,0.0154999999999999,0.0715,0.0394,,0.0231,2.0286,0.2050999999999999,0.07909999999999999,0.176,,0.0492
ore_ont_12955.owl,146,408,1719,1311,370,869,72,79,182,0,OWL2_DL,OWL2_DL,,,0.4688,0.0042,,,0.0507,,,0.02,0.0810999999999999,0.0391,0.0348,,,0.4888,0.08529999999999989,,,0.0507
ore_ont_13646.owl,751,154,2128,1261,950,211,100,0,118,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0106,1.0991,0.2295,0.0059,0.1818,0.1566,0.0494,0.01,0.054,0.0163999999999999,0.0699,0.0328,0.0256,0.0206,1.1531,0.2458999999999999,0.0758,0.21459999999999999,0.1822,0.0494
ore_ont_11477.owl,202,263,1347,1121,561,551,9,1,24,0,OWL2_DL - OWL2_FULL,OWL2_DL,3.087,14.9192,,0.2619,3.4613,,0.3515,0.0077,0.0706,0.0122,0.1084,0.0325,,3.0947,14.9898,,0.3703,3.4938000000000002,,0.3515
ore_ont_1473.owl,1415,0,3091,1676,1676,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0052,0.1484,0.0876,0.0084,0.0274,0.0215,0.0523,0.0144999999999999,0.0624,0.0181999999999999,0.0652,0.036,0.0339,0.019699999999999898,0.2108,0.1057999999999999,0.0736,0.0634,0.0554,0.0523
ore_ont_6020.owl,227,603,1566,1233,457,776,0,6,101,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0266999999999999,4.7189000000000005,0.3909,0.0167,13.1094,6.6852,0.0772,0.0123,0.0489,0.0168,0.0931,0.035,0.0286,0.0389999999999999,4.7678,0.4077,0.10980000000000001,13.144400000000001,6.7138,0.0772
ore_ont_13912.owl,32,121,1574,1486,170,1312,4,41,16,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,0.1159,0.0185,0.0431,0.0122,0.1449,0.0387,0.0441,,,,,,,0.1159
ore_ont_10517.owl,905,153,2619,1653,1212,374,67,6,56,0,OWL2_DL - OWL2_FULL,OWL2_DL,,8.1236,0.7467999999999999,0.1355,0.3075,0.223,0.216,0.0138,0.0672,0.0179,0.0963,0.0435,0.034,,8.1908,0.7646999999999999,0.2318,0.351,0.257,0.216
ore_ont_3262.owl,156,12,1651,1252,812,51,389,1,243,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.084,912.0988,0.6323,0.0776,,,0.1238,0.0088,0.1296,0.0121,0.0776999999999999,0.0301,0.0326,0.09280000000000001,912.2284,0.6444,0.15529999999999988,,,0.1238
ore_ont_2378.owl,1163,0,2849,1684,1684,0,0,0,2,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0165,0.1447,0.3407,0.0103,0.0412,0.0296999999999999,0.0524,0.0144999999999999,0.0583,0.0170999999999999,0.0660999999999999,0.0389,0.0287,0.030999999999999903,0.20299999999999999,0.3577999999999999,0.0763999999999999,0.0801,0.058399999999999896,0.0524
ore_ont_13112.owl,818,809,2446,1628,819,809,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0044,0.0891,0.0982,0.0046,0.0518,0.0434,0.0508,0.01,0.0504,0.019,0.0717,0.0431,0.0339,0.0144,0.1395,0.1172,0.0763,0.0949,0.07730000000000001,0.0508
ore_ont_5964.owl,659,193,2170,1424,1129,214,81,8,80,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1109,1.5131,,0.119,0.942,0.578,0.1709,0.014,0.085,0.0181,0.0847,0.04,0.0376,0.1249,1.5980999999999999,,0.2037,0.982,0.6155999999999999,0.1709
ore_ont_16255.owl,731,159,2184,1337,922,315,100,0,118,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.0135,1.1558,0.2269,0.0055,0.1745,0.1458,0.0504,0.0152,0.051,0.0169,0.0743,0.034,0.0344,0.0287,1.2067999999999999,0.2438,0.07980000000000001,0.2085,0.18020000000000003,0.0504
ore_ont_13404.owl,238,114,1311,907,730,177,0,0,167,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0037,0.3339,0.1148,0.0065,0.1159,0.0838,0.0405,0.0093,0.0432,0.0117,0.0586,0.0246,0.0203,0.013,0.3771,0.1265,0.0651,0.1405,0.1041,0.0405
ore_ont_12009.owl,1153,0,2333,1165,1153,0,12,0,15,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0031,0.1379,0.0793,0.0064,0.0246,0.0218,0.0469,0.0105,0.0515999999999999,0.0150999999999999,0.0567,0.0336,0.0227,0.013600000000000001,0.1894999999999999,0.0943999999999999,0.0631,0.0582,0.0445,0.0469
ore_ont_8387.owl,128,515,1641,1505,197,1304,4,3,6,0,OWL2_DL - OWL2_FULL,OWL2_DL,3.0127,0.4458,13.0907,0.0182,2.5082,1.4287,0.1006,0.0093,0.054,0.0138,0.122,0.0357,0.0311,3.0220000000000002,0.49979999999999997,13.1045,0.1402,2.5439,1.4598,0.1006
