Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading
ore_ont_8359.owl,2999,1135,10191,6663,4129,2159,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0434,0.1874,0.0499,0.2606,0.1166,
ore_ont_8286.owl,2999,1135,10191,6663,4129,2159,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.052,0.1712,0.064,0.2604,0.1229,
ore_ont_4515.owl,2999,1135,10191,6663,4129,2159,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0477,0.181,0.0633,0.2622,0.1222999999999999,
ore_ont_15450.owl,2999,1135,10191,6663,4129,2159,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.047,0.1645,0.0606,0.2668999999999999,0.1216,
ore_ont_6765.owl,2999,1135,10191,6663,4129,2159,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0455,0.1727,0.0573,0.2648,0.1173,
ore_ont_16565.owl,2999,1135,10192,6664,4130,2159,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0472,0.1716,0.0534,0.2605,0.1168,
ore_ont_12884.owl,2999,1135,10192,6664,4130,2159,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0457,0.1752999999999999,0.0559,0.2645,0.1168,
ore_ont_7474.owl,2999,1135,10192,6664,4130,2159,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0472,0.1817,0.051,0.2633,0.1237,
ore_ont_2664.owl,3000,1135,10197,6668,4130,2163,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0485,0.1678,0.0612,0.2609,0.1178,
ore_ont_13941.owl,3000,1135,10201,6672,4130,2167,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0501,0.1837,0.0518,0.2592,0.1112,
ore_ont_4581.owl,3001,1142,10205,6675,4131,2169,375,32,498,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0485,0.172,0.0519,0.2633,0.1228,
ore_ont_9972.owl,2994,1152,10217,6691,4126,2183,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0436,0.1828,0.055,0.26,0.1145,
ore_ont_1870.owl,2994,1152,10219,6693,4129,2182,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0462,0.1798,0.0522,0.2623,0.1193999999999999,
ore_ont_9186.owl,2995,1152,10220,6694,4129,2183,382,32,500,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0616,0.1822,0.0569,0.2592,0.1187,
ore_ont_15352.owl,2994,1152,10220,6694,4129,2183,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0563,0.1649,0.0496,0.2646,0.1169,
ore_ont_8171.owl,2994,1152,10220,6694,4129,2183,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0437,0.1656,0.0586,0.2614,0.1173,
ore_ont_2817.owl,2994,1152,10220,6694,4129,2183,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.047,0.1697,0.0603,0.2595,0.1229,
ore_ont_5543.owl,2994,1152,10220,6694,4129,2183,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0479,0.174,0.0608,0.2711,0.1244,
ore_ont_3329.owl,2994,1152,10220,6694,4129,2183,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0498,0.1789,0.0527,0.2581,0.1172,
ore_ont_13776.owl,2994,1152,10220,6694,4129,2183,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0422,0.1815,0.0498,0.265,0.1211,
ore_ont_16738.owl,2994,1152,10220,6694,4129,2183,382,32,501,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0425,0.1753,0.0594,0.2567,0.1291,
