Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Realization,HermiT_Realization,JFact_Realization,Konclude_Realization,Openllet_Realization,Pellet_Realization,KoncludeCLI_Realization,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Realization_LoadingAdded,HermiT_Realization_LoadingAdded,JFact_Realization_LoadingAdded,Konclude_Realization_LoadingAdded,Openllet_Realization_LoadingAdded,Pellet_Realization_LoadingAdded,KoncludeCLI_Realization_LoadingAdded
ore_ont_3781.owl,5949,0,17258,11307,10916,391,0,0,2,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.9153,0.6431,7.3204,0.0603,0.1311,0.0859,0.2397,0.0623,0.2196,0.0662,0.354,0.149,0.1453,0.9776,0.8627,7.3866000000000005,0.4143,0.2801,0.23120000000000002,0.2397
ore_ont_7356.owl,5953,391,17263,11309,10918,391,0,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,0.861,0.6732,7.2232,0.0603999999999999,0.3605,0.2907,0.245,0.0726,0.2195,0.0676,0.36,0.1664,0.1802,0.9336,0.8927,7.2908,0.4203999999999999,0.5268999999999999,0.4709,0.245
ore_ont_10425.owl,19,290,12656,12566,173,12339,54,62,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0521,0.6935,2.3521,0.0067,0.0955,,0.3685,0.0531,0.1007,0.0211,0.4462,0.1541,,0.1052,0.7942,2.3732,0.45289999999999997,0.2496,,0.3685
ore_ont_4567.owl,4265,3573,19191,14450,8271,5949,230,49,428,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.9179,,,1.0421,117.3499,,1.5214,0.074,0.2657,0.0852,0.5307,0.2253,,1.9919,,,1.5728,117.57520000000001,,1.5214
ore_ont_10384.owl,3832,0,23394,19558,7277,12278,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.2534,2.8349,14.2583,0.0424,0.6859,0.5021,0.3105,0.0979,0.1871,0.0996,0.5123,0.1061,0.1024,0.3513,3.0220000000000002,14.3579,0.5547,0.7919999999999999,0.6045,0.3105
ore_ont_2624.owl,3832,0,23394,19558,7277,12278,3,0,4,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.2499,2.8551,14.3146,0.0425,0.6386,0.512,0.3113,0.0931,0.1898,0.0972,0.5075,0.1065,0.1136,0.343,3.0449,14.411800000000001,0.5499999999999999,0.7451,0.6256,0.3113
ore_ont_22.owl,2208,0,20920,18698,4059,14635,4,0,14,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.5982,7.841699999999999,16.7662,0.0302,0.3652,0.2931,0.2957,0.0727,0.1735,0.1,0.5096,0.0818,0.0866,1.6709,8.015199999999998,16.866200000000003,0.5398000000000001,0.447,0.37970000000000004,0.2957
ore_ont_8705.owl,6326,5,22331,16002,10911,5088,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.7102999999999999,3.5924,17.4558,0.0779,0.7542,0.6497999999999999,0.3254,0.0848,0.247,0.0869,0.456,0.1614,0.173,0.7950999999999999,3.8394,17.5427,0.5339,0.9156,0.8228,0.3254
ore_ont_2578.owl,6326,5,22331,16002,10911,5088,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.684,3.7262,18.2045,0.0793,0.7134,0.6785,0.3289,0.088,0.2519,0.0925,0.4419,0.1684,0.1559,0.772,3.9781,18.297,0.5212,0.8818,0.8344,0.3289
ore_ont_3516.owl,2726,0,16818,14084,13461,620,3,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.107,0.8586,2.5697,0.0423,5.4906,4.2102,0.2126,0.0608,0.2208,0.0533,0.4117,0.1467,0.1635,0.1678,1.0794000000000001,2.623,0.454,5.6373,4.3737,0.2126
ore_ont_15063.owl,124,1605,12040,11871,268,11575,27,37,11,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.0164,0.4476,4.5495,0.0234,3.8729,,0.1445,0.0441,0.1115,0.0361,0.5604,0.1302,,1.0605,0.5591,4.5856,0.5838,4.0031,,0.1445
ore_ont_8779.owl,187,4354,11648,11398,385,11008,5,0,64,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.2303,0.6304,4.7965,0.0159,0.2926,0.2602,0.3587,0.0417,0.1047,0.0504,0.3841,0.1277,0.116,0.272,0.7351,4.8469,0.4,0.4203,0.3762,0.3587
