Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp,HermiT,JFact,Konclude,Openllet,Pellet,KoncludeCLI
ore_ont_703.owl,505,0,1042,536,535,0,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_5509.owl,311,417,1029,718,301,417,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0017,0.0448,0.0926,0.0068,0.019,0.0173,0.0323
ore_ont_12379.owl,193,0,749,551,548,0,3,0,5,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_165.owl,176,0,562,358,320,0,38,0,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_6889.owl,500,0,999,499,499,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_16321.owl,41,30,606,496,333,158,5,37,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_11371.owl,118,0,710,478,424,0,54,2,113,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_5184.owl,162,15,705,487,341,93,53,0,57,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_7988.owl,41,49,663,553,333,215,5,37,33,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0025,0.0325,0.0814,0.0139,0.0379,OE,0.0417
ore_ont_3832.owl,564,0,1197,633,633,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_15010.owl,178,0,706,519,339,180,0,0,9,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.018,0.0516999999999999,0.2286,0.0152,0.1825,0.1087,0.0372
ore_ont_12112.owl,50,62,452,340,208,121,11,43,20,0,OWL2_DL - OWL2_FULL,OWL2_DL,OE,0.0481,0.0672,0.009,0.03,0.0343,0.0291
ore_ont_16188.owl,166,41,885,529,330,34,165,0,190,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_8781.owl,151,10,732,476,453,16,7,11,95,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_13398.owl,136,0,947,808,413,392,3,0,3,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0057,0.1955,0.1322,0.0061,1.0497,0.9941,0.0289
ore_ont_7011.owl,244,180,859,602,403,190,9,1,13,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0585,0.6098,0.6094,0.0852,0.4847,0.3776,0.1196
ore_ont_13772.owl,159,40,858,518,316,44,158,0,181,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_6417.owl,149,46,820,497,296,53,148,0,174,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_13100.owl,591,0,1232,641,641,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_10431.owl,361,0,750,386,385,0,1,0,3,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_7179.owl,84,57,588,422,226,123,73,19,66,0,OWL2_DL - OWL2_FULL,OWL2_DL,IE,IE,IE,IE,IE,IE,0.039
ore_ont_4918.owl,594,0,1285,689,688,0,1,0,2,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_16166.owl,503,0,1140,572,529,0,43,0,67,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_5966.owl,271,44,646,369,325,44,0,0,7,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,,,,
ore_ont_8189.owl,627,0,1264,636,635,0,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,,,,,,,
