Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Classification,HermiT_Classification,JFact_Classification,Konclude_Classification,Openllet_Classification,Pellet_Classification,KoncludeCLI_Classification
ore_ont_2661.owl,35316,0,55705,20389,20389,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.2325,2.3983,4.7522,0.1737,0.2534,0.2299,0.9117
ore_ont_12330.owl,25511,0,51797,26279,26273,0,6,0,7,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,38.8458,2.8422,508.7005,0.261,2.6002,2.8558,0.8964
ore_ont_2627.owl,39430,0,60393,20963,20963,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.4681,2.5667,4.6993,0.1546,0.2703,0.2375,1.0062
ore_ont_12486.owl,29711,0,59411,29701,29701,0,0,0,0,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,1.0209,1.9183,7.9768,0.1032,0.2337,0.2114,0.8147
ore_ont_8712.owl,19885,0,39786,19892,19884,0,8,0,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,28.9572,1.4273,112.2185,0.1079,38.0044,42.9785,0.666
ore_ont_1954.owl,6993,7860,23125,16132,8272,7860,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0682,0.5892000000000001,2.3245,0.0368,0.3715,0.3298,0.4296
ore_ont_1212.owl,119,33665,41020,40885,123,40757,5,0,17,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,6.0915,0.1611,161.37550000000002,0.1472,0.6159,0.5226,0.6103
ore_ont_12839.owl,39061,0,60220,21159,21159,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.4065,2.5754,4.4554,0.175,0.2942,0.235,1.0149
ore_ont_11282.owl,30810,653,61623,30804,30143,653,8,0,10,0,OWL2_DL - OWL2_FULL,OWL2_DL,1.4929,2.118,28.1901,0.1335,2.8905,3.649,0.9077
ore_ont_12792.owl,11661,9,56854,45164,18028,27127,9,0,29,0,OWL2_DL - OWL2_FULL,OWL2_DL,8.766,2.1214,125.0351,0.0845,1.7758,1.5542,0.8173
ore_ont_7706.owl,11596,9,56766,45144,18148,26987,9,0,26,0,OWL2_DL - OWL2_FULL,OWL2_DL,21.5819,2.374,144.1838,0.0933,1.8931,1.6358,0.8449
ore_ont_13071.owl,25648,0,52111,26455,26449,0,6,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,39.1233,3.4552,474.7676,0.4598,221.3161,243.9595,1.1817
ore_ont_11553.owl,12454,39,41399,28760,28458,39,263,0,187,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,,,,
ore_ont_15074.owl,1159,0,21617,20442,20302,128,12,3,13,0,OWL2_DL - OWL2_FULL,OWL2_DL,534.4277,,,,,,28.3661
ore_ont_16542.owl,2622,12573,43149,40482,2876,37582,24,19,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,39.9792,,255.6176,0.0154,,,1.1266
ore_ont_14223.owl,8026,22079,48323,40267,18158,22079,30,0,31,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.7232999999999999,2.3589,64.2666,0.061,1.0621,0.9713,0.6774
ore_ont_7178.owl,30731,0,46736,16004,16004,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,49.4122,5.5959,289.354,0.1588,0.3326,0.2973,0.9267
ore_ont_15790.owl,34944,0,56251,21307,21307,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.1866,2.478,4.3378000000000005,0.1526,0.2308,0.2043,0.9551
ore_ont_16853.owl,214,11060,46721,44340,2372,40761,1207,1024,1144,0,OWL2_DL - OWL2_FULL,OWL2_DL,2.0453,1.325,31.4849,0.0037,8.069,6.8515,0.6452
ore_ont_11085.owl,22643,9486,57551,33151,22831,9486,834,0,1758,0,OWL2_DL - OWL2_QL - OWL2_FULL,OWL2_DL,0.4347999999999999,30.7558,11.0923,0.7082,141.0022,143.56799999999998,2.8827
ore_ont_14380.owl,13814,9,59804,45956,19800,26146,10,6,28,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.5075000000000001,2.0773,47.2659,0.1684,1.05,0.8869,0.9799
ore_ont_5815.owl,22258,0,42143,19884,19884,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,32.503,1.8113,152.6185,0.1239,0.2356,0.2096,0.719
ore_ont_12194.owl,19136,0,38518,19382,19382,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0532,1.51,0.5452,0.0743,0.2268,0.2062,0.6105
ore_ont_11426.owl,7807,23122,50436,42604,19449,23122,33,0,27,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,6.9157,3.1291,134.3679,0.0787,32.5881,25.383,0.7142
ore_ont_13665.owl,12318,0,45191,32874,32874,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,0.1109,1.0686,2.6678,0.0685,0.154,0.1527,0.6303
ore_ont_12452.owl,9170,36303,56653,47483,11179,36303,1,0,1,0,OWL2_DL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.6537000000000001,0.9507,8.232,0.0498,0.6534,0.635,0.796
ore_ont_3255.owl,369,6768,35342,34951,658,34287,6,1,22,0,OWL2_DL - OWL2_FULL,OWL2_DL,173.4112,1.5384,1133.8572,0.0106,,,0.9647
ore_ont_9694.owl,2624,12573,43173,40504,2898,37582,24,19,27,0,OWL2_DL - OWL2_FULL,OWL2_DL,40.9816,,267.3919,0.019,,,1.1617
ore_ont_14897.owl,4274,3,64436,60111,11310,48772,29,0,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,,10.5114,,0.2058,,,1.1799
ore_ont_1330.owl,8654,22079,51392,42709,20595,22079,35,0,31,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,,,,0.2155,54.3296,42.5419,0.9258
ore_ont_2105.owl,7224,0,38440,31215,31215,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,3.2998,0.7732,14.3904,0.0633,0.1565,0.1605,0.4868
ore_ont_7300.owl,42892,0,66966,24074,24074,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.518,2.739,5.3714,0.2084,0.2865,0.2873,1.1384
ore_ont_16687.owl,32324,0,64637,32313,32313,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.9243,2.1505,7.4258,0.1326,0.2359,0.2234,0.8822
ore_ont_12182.owl,55,2547,28766,28639,200,28430,9,31,42,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.1081999999999999,0.2527,,0.004,0.1219,0.1263,0.6702
ore_ont_12992.owl,11708,27127,57300,45565,18429,27127,9,0,29,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,21.0449,1.8446,171.2582,0.1033,25.6992,29.574,0.8477
ore_ont_12149.owl,38590,0,77179,38589,38589,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.1106999999999999,3.4009,1.2948,0.2437,0.6429,0.7049,1.1449
ore_ont_7493.owl,38640,0,77279,38639,38639,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.1135,3.3514,1.2923,0.249,0.655,0.6839999999999999,1.1344
ore_ont_14101.owl,13564,0,52353,38666,38544,0,122,0,124,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,181.8708,117.6819,,0.5266,,,1.2704
ore_ont_3237.owl,15111,0,53687,38571,38569,0,2,0,5,0,OWL2_DL - OWL2_FULL,OWL2_DL,,4.6907,,2.9679,,,3.1859
ore_ont_9684.owl,4443,3,69187,64693,12087,52577,29,0,51,0,OWL2_DL - OWL2_FULL,OWL2_DL,,11.498,,0.2543,,,1.2649
ore_ont_13964.owl,20569,0,47097,26527,26527,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,23.948,2.9481,132.0263,0.1637,0.305,0.2505,0.7862
ore_ont_11695.owl,11786,0,49660,37753,37635,0,118,0,121,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,38.985,,,33.8473
ore_ont_7204.owl,28649,0,59314,30657,30652,0,5,0,8,0,OWL2_DL - OWL2_FULL,OWL2_DL,44.6262,7.8299,611.7594,0.5533,371.7898,187.781,1.4262
ore_ont_6659.owl,17739,0,53139,35389,35386,0,3,0,12,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,62.6892,4.373,461.449,0.3111,3.6488,3.0806,1.1206
ore_ont_7831.owl,20569,0,47097,26527,26527,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,25.0243,2.989,145.4765,0.1553,0.2778,0.2505,0.7809
ore_ont_1066.owl,13248,39,52233,38798,38497,39,262,0,188,0,OWL2_DL - OWL2_FULL,OWL2_DL,,,,86.1154,,,79.4344
ore_ont_8470.owl,20413,0,54990,34484,34394,0,90,0,93,0,OWL2_DL - OWL2_FULL,OWL2_DL,9.6118,1.8345,98.0912,0.117,,48.2342,0.8664
ore_ont_4917.owl,13960,0,55418,41298,41219,0,79,0,161,0,OWL2_DL - OWL2_EL - OWL2_FULL,OWL2_EL,56.0409,12.5879,,0.2339,185.2441,162.7765,1.0453
ore_ont_16559.owl,7498,0,45314,37815,37815,0,0,0,1,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_FULL,OWL2_EL,1.4932,1.116,8.6349,0.0543,0.2105,0.1988,0.5758
ore_ont_10391.owl,80,5935,33133,32959,162,32766,31,17,77,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,4.6269,144.9959,42.3749,0.0033,2.4144,,0.7319
ore_ont_13526.owl,78,5933,33133,32967,157,32780,30,15,73,0,OWL2_DL - OWL2_RL - OWL2_FULL,OWL2_DL,4.6458,,38.1144,0.0032,2.3328,,0.7335
