Ontology,Classes,Individuals,Axioms,Logical Axioms,TBox,ABox,RBox,Data Properties,Object Properties,Annotation Properties,Profiles,Unnamed: 12,Factpp_Consistency,HermiT_Consistency,JFact_Consistency,Konclude_Consistency,Openllet_Consistency,Pellet_Consistency,KoncludeCLI_Consistency,Factpp_Loading,HermiT_Loading,JFact_Loading,Konclude_Loading,Openllet_Loading,Pellet_Loading,Factpp_Consistency_LoadingAdded,HermiT_Consistency_LoadingAdded,JFact_Consistency_LoadingAdded,Konclude_Consistency_LoadingAdded,Openllet_Consistency_LoadingAdded,Pellet_Consistency_LoadingAdded,KoncludeCLI_Consistency_LoadingAdded
ore_ont_8322.owl,3029,1199,10517,6955,4184,2389,382,32,502,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0265,0.0551,0.2898,0.0023,0.0699999999999999,,0.1863,0.0503,0.1826,0.0562,0.2794999999999999,0.1174,,0.0768,0.23770000000000002,0.346,0.28179999999999994,0.1873999999999999,,0.1863
ore_ont_14767.owl,3539,1226,10781,6905,4845,1873,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0229,0.0278,0.2338,0.0021,0.0723,,0.1815,0.0482999999999999,0.1797,0.053,0.2666,0.1171,,0.0711999999999999,0.2075,0.2868,0.2687,0.1894,,0.1815
ore_ont_891.owl,3539,1226,10783,6907,4845,1875,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0214,0.0272999999999999,0.2318,0.0022,0.0726,,0.1799,0.0484,0.18,0.0576,0.2669,0.1193,,0.0698,0.2072999999999999,0.2894,0.2691,0.19190000000000002,,0.1799
ore_ont_1970.owl,9987,0,15106,5119,5119,0,0,0,0,0,OWL2_DL - OWL2_QL - OWL2_EL - OWL2_RL - OWL2_FULL,OWL2_EL,0.0183,0.0004000000000000001,0.0634,0.0028,0.0192,0.0253,0.0924,0.0745,0.2368,0.0854,0.1735,0.1436,0.1086,0.0928,0.23720000000000002,0.1488,0.17629999999999998,0.1628,0.1339,0.0924
ore_ont_15692.owl,3535,1226,10825,6954,4839,1928,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0259,0.0314,0.2572,0.0022,0.0798,,0.1834,0.0554,0.1852,0.055,0.2642,0.1224,,0.0813,0.21660000000000001,0.3122,0.26639999999999997,0.2022,,0.1834
ore_ont_10892.owl,3535,1226,10826,6955,4840,1928,187,29,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0226,0.0286,0.2431,0.0022,0.0772,,0.1835,0.0463,0.1863,0.0572,0.2743,0.1222,,0.0689,0.21489999999999998,0.3003,0.27649999999999997,0.19940000000000002,,0.1835
ore_ont_4423.owl,3538,1226,10820,6945,4843,1915,187,30,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0235,0.029,0.2483,0.0023,0.0741,,0.1843,0.0545,0.1819,0.0566,0.2723,0.1167,,0.078,0.2109,0.3049,0.2746,0.1908,,0.1843
ore_ont_1062.owl,3538,1226,10820,6945,4843,1915,187,30,308,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0214,0.0312,0.2481,0.0024,0.0777,,0.1837,0.0459,0.1722,0.064,0.2649,0.1144,,0.0673,0.2034,0.3121,0.26730000000000004,0.1921,,0.1837
ore_ont_12432.owl,2748,0,8140,4979,4330,0,649,0,413,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.3105,0.0009,4.6089,0.0024,0.1111,0.1264,0.0787,0.0385,0.3121,0.0433,0.2467,0.1027,0.1158,0.349,0.313,4.652200000000001,0.24910000000000002,0.2138,0.24220000000000003,0.0787
ore_ont_14367.owl,3008,1220,10650,7111,4152,2584,375,32,500,0,OWL2_DL - OWL2_FULL,OWL2_DL,0.0235,0.0624,0.3361,0.002,0.0711,,0.1955,0.0483,0.1842,0.0606,0.283,0.1291,,0.0718,0.24659999999999999,0.3967,0.285,0.2002,,0.1955
